t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
143,0,12.681237,3.127729,2.000444,0,0,22.577989,1,4180380.7794,851769.1286,4726093.6738,4180380.2069,851769.3325,4726095.0158,11.4958
144,0,6.840444,1.567826,2.017335,0,0,22.577989,1,4180378.8817,851768.3063,4726094.3564,4180379.4768,851769.1837,4726095.6840,6.5546
145,0,5.519140,0.821029,1.732911,0,0,22.577989,1,4180377.1881,851768.4002,4726095.3215,4180378.7466,851769.0349,4726096.3521,5.3307
146,0,10.345478,1.181515,1.597002,0,0,22.577989,1,4180376.5902,851768.5337,4726097.2341,4180378.0165,851768.8862,4726097.0202,8.9041
147,0,2.123296,0.145273,1.473545,0,0,22.577989,1,4180375.2606,851768.4029,4726097.8642,4180377.2864,851768.7374,4726097.6884,3.6826
148,0,11.526535,2.920487,1.664901,0,0,22.577989,1,4180372.8051,851768.6278,4726097.5136,4180376.5562,851768.5886,4726098.3565,13.0433
149,0,2.994907,0.215994,1.449824,0,0,22.577989,1,4180371.7596,851768.0593,4726098.3832,4180375.8261,851768.4399,4726099.0247,4.3591
150,1,18.944290,7.919348,2.117600,0,0,22.577989,1,4180372.8339,851769.0213,4726097.3083,4180375.0960,851768.2911,4726099.6928,16.8021
151,1,6.873744,1.591351,2.128370,0,0,22.577989,1,4180373.1350,851768.6945,4726097.7501,4180374.3658,851768.1423,4726100.3609,5.3137
152,1,13.278725,5.967845,2.545840,0,0,22.577989,1,4180374.5375,851767.6066,4726098.2192,4180373.6357,851767.9936,4726101.0291,12.2488
153,1,14.556029,2.673929,2.500460,0,0,22.577989,1,4180374.1843,851768.4038,4726096.9612,4180372.9055,851767.8448,4726101.6972,17.2997
154,1,3.559217,0.298564,2.373533,0,0,22.577989,1,4180373.7028,851767.8093,4726097.0456,4180372.1754,851767.6960,4726102.3653,7.8192
155,1,2.548886,0.215388,2.312969,0,0,22.577989,1,4180373.2625,851768.0988,4726097.4664,4180371.4453,851767.5473,4726103.0335,6.2260
156,1,10.063016,1.836846,2.378502,0,0,22.577989,1,4180373.7617,851768.3978,4726098.8864,4180370.7151,851767.3985,4726103.7016,8.4924
157,1,2.001516,0.041811,2.368156,0,0,22.577989,1,4180373.3814,851768.4049,4726099.0735,4180369.9850,851767.2497,4726104.3698,8.0067
