t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
195,1,9.083849,0.000000,0.000000,0,0,22.577989,1,4180840.1899,852254.0894,4726128.3474,4180342.2397,851761.5965,4726129.7589,704.9290
196,1,4.660888,0.000000,0.000000,0,0,22.577989,1,4180838.1107,852253.0538,4726128.6823,4180341.5095,851761.4477,4726130.4270,698.8820
197,1,19.332802,0.000000,0.000000,0,0,22.577989,1,4180836.3010,852254.7726,4726130.1563,4180340.7794,851761.2990,4726131.0951,709.1619
198,1,9.709350,0.000000,0.000000,0,0,22.577989,1,4180836.4169,852253.3868,4726130.6091,4180340.0493,851761.1502,4726131.7632,704.1239
199,1,11.766214,0.000000,0.000000,0,0,22.577989,1,4180835.6120,852253.9000,4726131.9754,4180339.3191,851761.0014,4726132.4314,707.1166
200,1,10.688369,0.000000,0.000000,0,0,22.577989,1,4180834.2724,852253.4351,4726133.9807,4180338.5890,851760.8527,4726133.0995,700.9201
201,1,25.362754,0.000000,0.000000,0,0,22.577989,1,4180835.8797,852255.8559,4726134.2220,4180337.8588,851760.7039,4726133.7676,722.7529
202,1,7.789492,0.000000,0.000000,0,0,22.577989,1,4180834.4878,852256.3367,4726135.5059,4180337.1287,851760.5551,4726134.4358,704.9309
203,1,15.315624,0.000000,0.000000,0,0,22.577989,1,4180835.5577,852256.4056,4726135.1019,4180336.3986,851760.4064,4726135.1039,712.6928
204,1,10.887690,0.000000,0.000000,0,0,22.577989,1,4180835.8077,852256.0306,4726134.6145,4180335.6684,851760.2576,4726135.7720,708.3043
205,1,10.564110,0.000000,0.000000,0,0,22.577989,1,4180835.5016,852256.1975,4726133.9451,4180334.9383,851760.1088,4726136.4402,708.3859
206,1,2.819129,0.000000,0.000000,0,0,22.577989,1,4180834.4179,852256.1547,4726134.4929,4180334.2081,851759.9600,4726137.1083,704.6189
207,1,8.079119,0.000000,0.000000,0,0,22.577989,1,4180832.9288,852257.0446,4726134.8808,4180333.4780,851759.8113,4726137.7764,706.5173
208,1,10.759970,0.000000,0.000000,0,0,22.577989,1,4180831.6462,852258.2927,4726134.5306,4180332.7478,851759.6625,4726138.4446,708.8087
209,1,6.730429,0.000000,0.000000,0,0,22.577989,1,4180831.6824,852258.9731,4726135.1113,4180332.0177,851759.5137,4726139.1127,711.9181
210,1,9.928968,0.000000,0.000000,0,0,22.577989,1,4180831.1561,852257.6477,4726136.4435,4180331.2876,851759.3650,4726139.7808,702.5100
211,1,8.414012,0.000000,0.000000,0,0,22.577989,1,4180829.4588,852257.0077,4726137.7604,4180330.5574,851759.2162,4726140.4489,700.2337
212,1,7.921495,0.000000,0.000000,0,0,22.577989,1,4180828.1378,852257.3341,4726139.2430,4180329.8273,851759.0674,4726141.1171,704.9073
213,1,14.821805,0.000000,0.000000,0,0,22.577989,1,4180828.5313,852257.8640,4726141.5171,4180329.0971,851758.9187,4726141.7852,712.3495
214,1,7.519620,0.000000,0.000000,0,0,22.577989,1,4180827.1683,852257.6166,4726143.1542,4180328.3670,851758.7699,4726142.4533,703.0606
215,1,10.203271,0.000000,0.000000,0,0,22.577989,1,4180827.6549,852258.1302,4726143.1363,4180327.6368,851758.6211,4726143.1215,712.9621
216,1,13.311362,0.000000,0.000000,0,0,22.577989,1,4180825.9516,852257.2803,4726145.3741,4180326.9067,851758.4723,4726143.7896,699.8802
217,1,6.082964,0.000000,0.000000,0,0,22.577989,1,4180824.4274,852257.1544,4726146.8397,4180326.1766,851758.3236,4726144.4577,702.7404
218,1,18.174329,0.000000,0.000000,0,0,22.577989,1,4180824.2932,852256.5900,4726150.0548,4180325.4464,851758.1748,4726145.1259,706.4057
219,1,4.619390,0.000000,0.000000,0,0,22.577989,1,4180823.8600,852256.9702,4726151.5003,4180324.7163,851758.0260,4726145.7940,708.7060
220,1,8.875219,0.000000,0.000000,0,0,22.577989,1,4180822.9653,852257.6787,4726151.5889,4180323.9861,851757.8773,4726146.4621,708.4439
221,1,6.129471,0.000000,0.000000,0,0,22.577989,1,4180821.5626,852256.7862,4726152.3894,4180323.2560,851757.7285,4726147.1302,700.4877
222,1,10.511571,0.000000,0.000000,0,0,22.577989,1,4180821.1374,852256.6870,4726152.0424,4180322.5258,851757.5797,4726147.7984,706.8754
223,1,8.190384,0.000000,0.000000,0,0,22.577989,1,4180820.3719,852257.4552,4726153.8225,4180321.7957,851757.4310,4726148.4665,709.1261
224,1,24.540216,0.000000,0.000000,0,0,22.577989,1,4180819.6113,852257.6380,4726151.5617,4180321.0655,851757.2822,4726149.1346,707.3524
225,1,13.168020,0.000000,0.000000,0,0,22.577989,1,4180818.0375,852256.8948,4726150.7556,4180320.3354,851757.1334,4726149.8028,700.5123
226,1,12.613603,0.000000,0.000000,0,0,22.577989,1,4180818.2426,852254.9332,4726151.9150,4180319.6053,851756.9846,4726150.4709,702.1925
227,1,15.549795,0.000000,0.000000,0,0,22.577989,1,4180818.3554,852257.0786,4726151.7349,4180318.8751,851756.8359,4726151.1390,717.4419
228,1,11.689356,0.000000,0.000000,0,0,22.577989,1,4180818.1770,852258.3398,4726153.5169,4180318.1450,851756.6871,4726151.8071,714.0604
229,1,14.714469,0.000000,0.000000,0,0,22.577989,1,4180816.6659,852257.7717,4726152.4467,4180317.4148,851756.5383,4726152.4753,702.5736
230,1,14.012800,0.000000,0.000000,0,0,22.577989,1,4180816.1453,852258.1758,4726154.8390,4180316.6847,851756.3896,4726153.1434,709.9136
231,1,9.836398,0.000000,0.000000,0,0,22.577989,1,4180816.0510,852258.7005,4726156.7135,4180315.9545,851756.2408,4726153.8115,712.3520
232,1,8.083081,0.000000,0.000000,0,0,22.577989,1,4180814.6294,852258.9373,4726158.3895,4180315.2244,851756.0920,4726154.4797,706.6497
233,1,8.354904,0.000000,0.000000,0,0,22.577989,1,4180813.8542,852257.6262,4726158.8985,4180314.4942,851755.9433,4726155.1478,703.0497
234,1,22.066842,0.000000,0.000000,0,0,22.577989,1,4180813.3895,852257.9133,4726156.8231,4180313.7641,851755.7945,4726155.8159,710.3447
235,1,14.474019,0.000000,0.000000,0,0,22.577989,1,4180812.4169,852259.3588,4726159.0269,4180313.0339,851755.6457,4726156.4840,713.1395
236,1,7.642745,0.000000,0.000000,0,0,22.577989,1,4180811.6679,852258.5208,4726159.0556,4180312.3038,851755.4969,4726157.1522,705.5289
237,1,7.357550,0.000000,0.000000,0,0,22.577989,1,4180810.1726,852257.5781,4726159.4259,4180311.5737,851755.3482,4726157.8203,702.0320
238,1,5.432846,0.000000,0.000000,0,0,22.577989,1,4180808.5424,852257.0428,4726160.2247,4180310.8435,851755.1994,4726158.4884,702.5722
239,1,18.309437,0.000000,0.000000,0,0,22.577989,1,4180806.9328,852256.1946,4726158.6010,4180310.1134,851755.0506,4726159.1565,701.1087
240,1,5.765692,0.000000,0.000000,0,0,22.577989,1,4180806.6305,852256.0244,4726158.5131,4180309.3832,851754.9019,4726159.8247,708.0478
241,1,9.135876,0.000000,0.000000,0,0,22.577989,1,4180806.3316,852256.1601,4726160.0798,4180308.6531,851754.7531,4726160.4928,709.3507
242,1,14.913499,0.000000,0.000000,0,0,22.577989,1,4180804.7203,852255.4726,4726158.7810,4180307.9229,851754.6043,4726161.1609,701.3651
243,1,12.715554,0.000000,0.000000,0,0,22.577989,1,4180802.6999,852256.0598,4726160.5482,4180307.1928,851754.4556,4726161.8291,704.1201
244,1,11.938027,0.000000,0.000000,0,0,22.577989,1,4180803.7010,852256.3480,4726160.5759,4180306.4626,851754.3068,4726162.4972,714.3570
245,1,16.948598,0.000000,0.000000,0,0,22.577989,1,4180803.5897,852255.3965,4726163.1281,4180305.7325,851754.1580,4726163.1653,706.0592
246,1,11.174639,0.000000,0.000000,0,0,22.577989,1,4180801.0850,852255.3782,4726163.0214,4180305.0023,851754.0092,4726163.8334,700.2418
247,1,10.539162,0.000000,0.000000,0,0,22.577989,1,4180801.5590,852256.0765,4726162.8689,4180304.2722,851753.8605,4726164.5016,713.9477
248,1,17.346488,0.000000,0.000000,0,0,22.577989,1,4180802.5181,852256.5856,4726161.5287,4180303.5420,851753.7117,4726165.1697,715.9839
249,1,16.618854,0.000000,0.000000,0,0,22.577989,1,4180803.7367,852254.9565,4726160.6354,4180302.8119,851753.5629,4726165.8378,709.6118
250,1,9.911201,0.000000,0.000000,0,0,22.577989,1,4180803.9453,852253.8821,4726161.9605,4180302.0817,851753.4142,4726166.5059,707.9182
251,1,21.770710,0.000000,0.000000,0,0,22.577989,1,4180803.1349,852252.6293,4726165.0885,4180301.3516,851753.2654,4726167.1741,703.5075
252,1,18.860168,0.000000,0.000000,0,0,22.577989,1,4180803.6972,852252.4951,4726168.0315,4180300.6215,851753.1166,4726167.8422,712.8486
253,1,5.271066,0.000000,0.000000,0,0,22.577989,1,4180802.7448,852252.5411,4726168.3285,4180299.8913,851752.9679,4726168.5103,708.0004
254,1,13.685915,0.000000,0.000000,0,0,22.577989,1,4180800.5842,852252.0368,4726167.7852,4180299.1612,851752.8191,4726169.1784,701.2710
255,1,4.662350,0.000000,0.000000,0,0,22.577989,1,4180800.1129,852252.0278,4726167.8292,4180298.4310,851752.6703,4726169.8466,709.1147
256,1,21.106909,0.000000,0.000000,0,0,22.577989,1,4180800.3962,852252.2214,4726171.0969,4180297.7009,851752.5215,4726170.5147,713.2248
257,1,9.586573,0.000000,0.000000,0,0,22.577989,1,4180799.0412,852251.7016,4726170.7948,4180296.9707,851752.3728,4726171.1828,704.3887
