t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
64,0,11.005691,3.438049,3.031496,0,0,31.834787,1,4180437.5301,851783.4650,4726037.1338,4180437.8873,851781.0851,4726042.2326,8.2410,1.000000
65,0,19.222210,4.420854,2.957355,0,0,27.523658,1,4180437.8411,851784.1967,4726040.9103,4180437.1572,851780.9363,4726042.9007,15.3139,1.000000
66,0,6.188626,0.392799,2.528165,0,0,24.462477,1,4180436.9318,851784.2350,4726042.5026,4180436.4271,851780.7876,4726043.5689,5.7366,1.000000
67,0,23.170709,6.392036,3.076588,0,0,22.201697,1,4180435.3126,851783.3467,4726046.3229,4180435.6970,851780.6388,4726044.2370,21.4505,1.000000
68,0,15.522542,2.475267,2.885892,0,0,20.484258,1,4180434.0751,851783.1959,4726049.0980,4180434.9668,851780.4900,4726044.9052,17.8945,1.000000
69,0,12.288444,1.575759,2.853478,0,0,19.151821,1,4180433.1967,851782.7104,4726048.4239,4180434.2367,851780.3413,4726045.5733,7.8180,1.000000
70,0,9.491164,3.131312,2.594020,0,0,18.101020,1,4180432.9024,851781.5043,4726049.3876,4180433.5066,851780.1925,4726046.2414,8.1580,1.000000
71,0,20.998035,4.314668,2.760943,0,0,17.261148,1,4180431.7392,851781.3740,4726047.8445,4180432.7764,851780.0437,4726046.9096,18.0097,1.000000
72,0,7.539562,1.369778,2.797566,0,0,16.581969,1,4180430.4657,851781.5878,4726049.0782,4180432.0463,851779.8950,4726047.5777,9.4153,1.000000
73,0,18.102188,9.114331,3.662485,0,0,16.026674,1,4180428.1337,851782.0971,4726048.7613,4180431.3162,851779.7462,4726048.2459,19.2387,1.000000
74,0,8.576496,2.520039,3.570684,0,0,15.567619,1,4180428.1322,851782.2704,4726049.2154,4180430.5861,851779.5974,4726048.9140,7.0701,1.000000
75,0,13.254606,5.830914,3.711690,0,0,15.183633,1,4180427.3828,851780.8110,4726050.3120,4180429.8559,851779.4487,4726049.5822,11.0357,1.000000
76,0,17.799327,8.388619,4.511272,0,1,14.858266,1,4180427.8307,851779.8150,4726052.0170,4180429.1258,851779.2999,4726050.2503,16.1254,1.000000
77,0,14.387687,2.663261,4.138395,0,0,42.012800,1,4180428.5667,851780.8701,4726049.2822,4180428.3957,851779.1511,4726050.9185,12.5005,3.609281
78,0,19.073304,2.984582,4.189326,0,0,35.057553,1,4180427.6851,851780.5977,4726054.2008,4180427.6655,851779.0024,4726051.5866,17.3921,1.000000
79,0,12.382442,2.311659,4.262916,0,0,30.458787,1,4180425.9724,851779.5197,4726052.8750,4180426.9354,851778.8536,4726052.2548,9.5868,1.000000
80,0,10.560106,3.560961,4.305881,0,0,27.218600,1,4180426.2293,851777.6691,4726053.0610,4180426.2053,851778.7048,4726052.9229,9.4286,1.000000
81,0,10.085779,2.043136,4.078728,0,0,24.832585,1,4180424.3731,851777.2783,4726054.9199,4180425.4752,851778.5561,4726053.5911,10.2768,1.000000
82,0,8.102423,1.258767,4.067627,0,0,23.017214,1,4180423.3543,851777.7675,4726054.6904,4180424.7450,851778.4073,4726054.2592,6.6037,1.000000
83,0,9.592724,0.839756,3.240169,0,0,21.600179,1,4180422.7555,851777.5048,4726054.0185,4180424.0149,851778.2585,4726054.9273,9.1432,1.000000
84,0,8.917148,1.433634,3.131529,0,0,20.470328,1,4180422.4753,851777.8338,4726053.6692,4180423.2848,851778.1098,4726055.5955,9.0122,1.000000
85,0,4.945734,0.702289,2.618666,0,0,19.552547,1,4180422.3153,851777.7233,4726053.9195,4180422.5546,851777.9610,4726056.2636,5.6544,1.000000
86,0,10.841103,1.584454,1.938250,0,0,18.794176,1,4180421.7339,851778.0827,4726055.6682,4180421.8245,851777.8122,4726056.9318,8.4879,1.000000
