counter,mode,seed,num_windows,num_flagged_windows,max_D,threshold,trial_exceeds_threshold
hpmcounter5,jump,test_seed_12,282,0,86.12242665261785,119.89820685930462,False
hpmcounter5,jump,test_seed_13,282,0,47.55838885142301,119.89820685930462,False
hpmcounter5,jump,test_seed_14,282,0,59.73046353237916,119.89820685930462,False
hpmcounter5,jump,test_seed_15,282,0,82.1358619499588,119.89820685930462,False
hpmcounter5,jump,test_seed_16,282,0,54.53253985685777,119.89820685930462,False
hpmcounter5,jump,test_seed_17,282,0,95.64019936178506,119.89820685930462,False
hpmcounter5,jump,test_seed_18,282,0,113.29183481006214,119.89820685930462,False
hpmcounter5,jump,test_seed_19,282,0,78.22064952609755,119.89820685930462,False
hpmcounter5,jump,test_seed_2,282,0,42.15030104091246,119.89820685930462,False
hpmcounter5,jump,test_seed_20,282,0,56.32433077888585,119.89820685930462,False
hpmcounter5,jump,test_seed_3,282,0,67.15948970271566,119.89820685930462,False
hpmcounter5,jump,test_seed_4,282,0,52.95983299559043,119.89820685930462,False
hpmcounter5,jump,test_seed_5,282,0,48.97373255781047,119.89820685930462,False
hpmcounter5,jump,test_seed_6,282,0,47.07638995877405,119.89820685930462,False
hpmcounter5,jump,test_seed_7,282,0,53.42717730075973,119.89820685930462,False
hpmcounter5,jump,test_seed_8,282,0,117.74971085864289,119.89820685930462,False
hpmcounter5,jump,test_seed_9,282,1,123.12887042596331,119.89820685930462,True
hpmcounter5,replay,test_seed_1,282,0,64.0064928417141,119.89820685930462,False
hpmcounter5,replay,test_seed_10,282,0,47.25429408614973,119.89820685930462,False
hpmcounter5,replay,test_seed_11,282,0,54.93001606677061,119.89820685930462,False
hpmcounter5,replay,test_seed_12,282,0,46.95329186658206,119.89820685930462,False
hpmcounter5,replay,test_seed_13,282,0,38.76943654261177,119.89820685930462,False
hpmcounter5,replay,test_seed_14,282,0,76.84763956852973,119.89820685930462,False
hpmcounter5,replay,test_seed_15,282,0,65.91495546597665,119.89820685930462,False
hpmcounter5,replay,test_seed_16,282,0,78.47821661976712,119.89820685930462,False
hpmcounter5,replay,test_seed_17,282,0,46.84615140426343,119.89820685930462,False
hpmcounter5,replay,test_seed_18,282,0,48.47479097446791,119.89820685930462,False
hpmcounter5,replay,test_seed_19,282,0,75.72949313463677,119.89820685930462,False
hpmcounter5,replay,test_seed_2,282,0,67.62124146327993,119.89820685930462,False
hpmcounter5,replay,test_seed_20,282,0,37.37832164332341,119.89820685930462,False
hpmcounter5,replay,test_seed_3,282,0,79.1297618142205,119.89820685930462,False
hpmcounter5,replay,test_seed_4,282,0,67.7430329564051,119.89820685930462,False
hpmcounter5,replay,test_seed_5,282,0,48.6678740520582,119.89820685930462,False
hpmcounter5,replay,test_seed_6,282,0,100.82997612204164,119.89820685930462,False
