counter,mode,seed,alpha,beta,W,sigma_eps2,SE_beta,D
hpmcounter4,drift,test_seed_8,0.5025437817492899,-0.0001183526998924,291.0,2.5884460291488337e-05,3.5503671036268524e-06,33.33534151200805
hpmcounter4,drift,test_seed_7,-0.068037347834842,-0.0001076176549817,291.0,3.11597355148344e-05,3.895386772608471e-06,27.626949841911564
hpmcounter4,drift,test_seed_15,0.5629204677465749,0.0001195614814417,291.0,5.0095047589841085e-05,4.939137318252939e-06,24.206956344350235
hpmcounter4,drift,test_seed_9,-0.7383857122954218,6.425923777296075e-05,291.0,4.1019913188675876e-05,4.469419014657281e-06,14.377537116619665
hpmcounter4,drift,test_seed_11,0.0081439508909308,-4.794752741533103e-05,291.0,8.439030457988782e-05,6.4106192161134485e-06,7.47939096036343
hpmcounter4,drift,test_seed_1,-0.0991111506036648,3.335386457537327e-05,291.0,6.162502055549499e-05,5.478128842899414e-06,6.08855058577265
hpmcounter4,drift,test_seed_17,-0.1412253342007771,3.741145605312068e-05,291.0,0.00015850750042163155,8.785745375282263e-06,4.258199441833784
hpmcounter4,drift,test_seed_13,-0.1090060373522148,-1.192943747828991e-05,291.0,5.970605645488358e-05,5.392161577800191e-06,2.212366470508603
hpmcounter4,jump,test_seed_4,0.5611381299784735,-0.0004355960094031,291.0,1.0897210689586551e-05,2.303622850075035e-06,189.09172106402377
hpmcounter4,jump,test_seed_20,0.5504530034603605,-0.0005679731325506,291.0,2.884914050005278e-05,3.748177447758491e-06,151.53314923504033
hpmcounter4,jump,test_seed_19,-0.635390331368417,-0.0003903550114281,291.0,2.538652915326928e-05,3.5160526361968456e-06,111.02080993028855
hpmcounter4,jump,test_seed_2,-0.0999357383991426,-0.00034692832944,291.0,2.7906761866999725e-05,3.686450672607821e-06,94.10903881553376
hpmcounter4,jump,test_seed_14,0.5663832431717064,0.0003639318122562,291.0,4.36848133786319e-05,4.612314854186985e-06,78.90437313181874
hpmcounter4,jump,test_seed_17,-0.1114393291889603,0.000437823449222,291.0,6.937719460014735e-05,5.8124880232028925e-06,75.32461959048362
hpmcounter4,jump,test_seed_12,0.5329003902320267,0.0001772539946116,291.0,3.730267720874337e-05,4.262100684730655e-06,41.58841090888064
hpmcounter4,jump,test_seed_15,-0.0195904637075524,0.0001089945761588,291.0,1.8058387616054084e-05,2.965467639830449e-06,36.75459974502766
hpmcounter4,jump,test_seed_3,-0.1402050586585208,-0.0002347372578807,291.0,0.0001363571556702032,8.148781457887004e-06,28.806424505777315
hpmcounter4,jump,test_seed_1,-0.0927562551822528,-0.0002368948076319,291.0,0.00014329331118079731,8.353465110049925e-06,28.35886718996354
hpmcounter4,jump,test_seed_10,-0.0923330960773387,-9.78745387967232e-05,291.0,2.9187098083092745e-05,3.770067818337042e-06,25.96094911626687
hpmcounter4,jump,test_seed_18,-0.1016776387765217,-0.0001119387468739,291.0,4.572743775955684e-05,4.7189148138392226e-06,23.721290018971267
hpmcounter4,jump,test_seed_13,0.5703246892931398,-7.173622338708373e-05,291.0,2.4455304321185004e-05,3.450962496708999e-06,20.787308890054522
hpmcounter4,jump,test_seed_5,-0.0227809265247812,-0.0001024142372086,291.0,5.241554599734012e-05,5.052237532993541e-06,20.271065352684978
hpmcounter4,jump,test_seed_8,-0.1532509956808544,-5.625173932072947e-05,291.0,1.610247309467658e-05,2.800270562411245e-06,20.08796581152232
hpmcounter4,jump,test_seed_6,-1.3881224429265944,0.0001177221953627,291.0,7.984537576554839e-05,6.23560488212924e-06,18.87903380473684
hpmcounter4,jump,test_seed_9,-0.1006037248988194,5.379863230375136e-05,291.0,2.1966152964781147e-05,3.270624650193441e-06,16.449038962807744
hpmcounter4,jump,test_seed_16,-0.0376322998490908,-5.134081487465599e-05,291.0,8.902446048154429e-05,6.5842813318539675e-06,7.797481955437605
hpmcounter4,jump,test_seed_11,-0.063272121767254,2.8964047521849956e-05,291.0,0.00010041447485413865,6.992812193648062e-06,4.141974175734266
hpmcounter4,jump,test_seed_7,0.5734099064319681,-2.5688058597386712e-06,291.0,7.27179525488533e-05,5.950788636762289e-06,0.43167486135691585
hpmcounter4,replay,test_seed_2,-0.1210286803094729,-0.0003832957189349,291.0,4.1721919884540814e-06,1.4253970191823709e-06,268.9045324051289
hpmcounter4,replay,test_seed_19,-0.1648181938003227,-0.0006464723091876,291.0,1.4038966488875558e-05,2.6146964217226705e-06,247.245647263967
hpmcounter4,replay,test_seed_12,-0.1590345317452094,-0.0002351531903202,291.0,2.7796905520063764e-05,3.679187570060557e-06,63.914433782545515
hpmcounter4,replay,test_seed_4,0.5333099141212426,-0.000312022725992,291.0,5.4739633613615926e-05,5.1630299814107785e-06,60.43403333225289
hpmcounter4,replay,test_seed_20,-0.6714037626928933,-0.000423011323146,291.0,0.00013497587990169116,8.107403488950932e-06,52.175930767784706
hpmcounter4,replay,test_seed_3,-0.0624371431483321,9.043194652380488e-05,291.0,6.198038457119443e-06,1.7373240718529635e-06,52.05243396377604
hpmcounter4,replay,test_seed_15,0.5711760646804551,0.0001526777036727,291.0,2.335416057387956e-05,3.3723747955807942e-06,45.27305324211619
hpmcounter4,replay,test_seed_14,0.547534847587859,0.0001897128753926,291.0,4.6801002482556446e-05,4.773987546465158e-06,39.73887102681502
hpmcounter4,replay,test_seed_10,0.5489420112638942,-0.0001630319868277,291.0,5.5707464562877506e-05,5.2084727963298145e-06,31.301303319195902
hpmcounter4,replay,test_seed_11,-3.868181997758642,0.0002164671341365,291.0,0.0001035102675993751,7.099788632174488e-06,30.489236419732894
hpmcounter4,replay,test_seed_13,-0.1611419272482597,-0.0001297897629894,291.0,6.120419227726265e-05,5.459392129050822e-06,23.773665624558355
hpmcounter4,replay,test_seed_6,-0.0894037787163521,6.937306188439755e-05,291.0,3.0768982196405785e-05,3.870885000371758e-06,17.921757395979213
hpmcounter4,replay,test_seed_7,-0.0894037787163521,6.937306188439755e-05,291.0,3.0768982196405785e-05,3.870885000371758e-06,17.921757395979213
hpmcounter4,replay,test_seed_8,-0.0894037787163521,6.937306188439755e-05,291.0,3.0768982196405785e-05,3.870885000371758e-06,17.921757395979213
hpmcounter4,replay,test_seed_9,-0.0894037787163521,6.937306188439755e-05,291.0,3.0768982196405785e-05,3.870885000371758e-06,17.921757395979213
hpmcounter4,replay,test_seed_1,-1.9950859383908568,8.182114711086807e-05,291.0,4.7894422722624706e-05,4.829433333660354e-06,16.942183783879607
hpmcounter4,replay,test_seed_18,-0.1468707366196821,-8.916829818228471e-05,291.0,7.666489140134413e-05,6.1101513261583285e-06,14.593468053817912
