mode,seed,counter,z_flag,d_flag,v_flag
jump,seed8,hpmcounter10,True,True,False
jump,seed8,hpmcounter3,True,True,False
jump,seed8,hpmcounter4,True,True,False
jump,seed8,hpmcounter5,True,True,False
jump,seed8,hpmcounter6,False,False,False
jump,seed8,hpmcounter7,False,False,False
jump,seed8,hpmcounter8,True,True,False
jump,seed8,hpmcounter9,False,False,False
jump,seed9,hpmcounter10,False,True,False
jump,seed9,hpmcounter3,False,True,False
jump,seed9,hpmcounter4,False,True,False
jump,seed9,hpmcounter5,False,True,False
jump,seed9,hpmcounter6,False,False,False
jump,seed9,hpmcounter7,False,False,False
jump,seed9,hpmcounter8,False,True,False
jump,seed9,hpmcounter9,False,False,False
