t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
114,0,5.287473,0.831919,2.627913,0,0,22.577993,1,4180402.7863,851774.2339,4726073.6844,4180401.3808,851773.6468,4726075.6398,5.1606
115,0,14.852586,2.784402,2.500040,0,0,22.577992,1,4180401.3473,851773.4499,4726072.5344,4180400.6507,851773.4980,4726076.3079,16.2185
116,0,12.139325,2.302687,2.623868,0,0,22.577992,1,4180400.0035,851772.3089,4726071.6949,4180399.9206,851773.3492,4726076.9761,15.4993
117,0,4.094689,0.457249,2.499837,0,0,22.577991,1,4180399.3554,851772.6526,4726072.4025,4180399.1904,851773.2004,4726077.6442,4.1693
118,0,18.067655,4.719205,2.158872,0,0,22.577991,1,4180399.8102,851773.3987,4726074.9507,4180398.4603,851773.0517,4726078.3123,13.3471
119,0,12.746278,3.469288,2.183848,0,0,22.577990,1,4180398.3621,851771.8562,4726076.7373,4180397.7302,851772.9029,4726078.9805,9.7936
120,0,8.042581,1.166512,2.212584,0,0,22.577990,1,4180397.8046,851772.4609,4726078.2630,4180397.0000,851772.7541,4726079.6486,5.7374
121,0,9.746381,1.619659,2.103476,0,0,22.577990,1,4180398.0921,851772.0808,4726080.0583,4180396.2699,851772.6054,4726080.3168,9.2927
122,0,13.431948,5.639506,2.533855,0,0,22.577990,1,4180396.3225,851769.8943,4726080.3032,4180395.5398,851772.4566,4726080.9849,13.1558
123,0,13.834122,3.591851,2.658228,0,0,22.577989,1,4180396.8160,851768.4884,4726082.4959,4180394.8096,851772.3078,4726081.6530,15.1596
124,0,5.975245,1.199572,2.694993,0,0,22.577989,1,4180395.2126,851768.3845,4726083.2910,4180394.0795,851772.1591,4726082.3212,3.9666
125,0,0.799367,0.021433,2.418696,0,0,22.577989,1,4180394.4935,851767.7841,4726084.1733,4180393.3493,851772.0103,4726082.9893,5.1421
126,0,12.529450,3.319167,2.520344,0,0,22.577989,1,4180393.9810,851768.8936,4726083.8665,4180392.6192,851771.8615,4726083.6575,8.9040
127,0,27.717970,11.813772,3.655996,1,0,22.577989,1,4180394.4486,851770.8761,4726087.7959,4180391.8891,851771.7128,4726084.3256,27.0989
128,0,24.358992,7.532607,3.937337,0,0,22.577989,1,4180392.1717,851771.0881,4726085.8514,4180391.1589,851771.5640,4726084.9937,19.7806
129,0,12.906924,1.741064,3.764514,0,0,22.577989,1,4180391.5936,851771.6054,4726085.0063,4180390.4288,851771.4152,4726085.6619,11.9732
130,0,11.449469,3.240843,3.971947,0,0,22.577989,1,4180389.2206,851771.7153,4726086.6036,4180389.6987,851771.2665,4726086.3300,10.1596
131,0,25.904335,6.297592,4.439741,0,1,22.577989,1,4180387.7299,851771.3804,4726083.9745,4180388.9685,851771.1177,4726086.9982,25.6057
132,0,5.151099,0.345634,3.910353,0,0,22.577989,1,4180386.4051,851771.4211,4726085.1049,4180388.2384,851770.9689,4726087.6663,3.9178
133,0,23.098415,8.209340,4.372102,0,0,22.577989,1,4180387.2331,851770.2649,4726083.0421,4180387.5083,851770.8202,4726088.3344,24.5443
134,0,9.175053,1.061041,4.358249,0,0,22.577989,1,4180386.9019,851769.6964,4726084.5267,4180386.7781,851770.6714,4726089.0026,4.6976
135,0,19.839721,4.184430,4.774549,0,1,22.577989,1,4180386.7785,851770.2486,4726087.4957,4180386.0480,851770.5226,4726089.6707,15.1602
136,0,10.199542,3.459641,4.788596,0,1,22.577989,1,4180387.1715,851768.6799,4726088.3314,4180385.3179,851770.3739,4726090.3389,10.7427
137,0,14.182141,3.382069,3.945426,0,0,22.577989,1,4180388.0371,851768.3884,4726090.5161,4180384.5877,851770.2251,4726091.0070,14.0612
138,0,16.727882,2.876947,3.479860,0,0,22.577989,1,4180386.8682,851768.1073,4726093.4076,4180383.8576,851770.0763,4726091.6751,15.9698
139,0,7.425663,0.603781,3.366132,0,0,22.577989,1,4180386.7141,851768.0079,4726095.2461,4180383.1275,851769.9276,4726092.3433,10.5307
140,0,12.031676,4.054513,3.447499,0,0,22.577989,1,4180384.3504,851767.4756,4726096.9812,4180382.3973,851769.7788,4726093.0114,11.7327
141,0,3.419316,0.395125,2.857252,0,0,22.577989,1,4180383.3543,851766.6836,4726098.0263,4180381.6672,851769.6300,4726093.6796,6.9636
142,0,10.712570,3.293322,3.152021,0,0,22.577989,1,4180382.6424,851768.0927,4726099.6916,4180380.9370,851769.4813,4726094.3477,11.6422
143,0,7.849452,0.813845,2.412471,0,0,22.577989,1,4180381.3778,851767.7573,4726099.8202,4180380.2069,851769.3325,4726095.0158,3.1123
144,0,14.140260,3.881581,2.694525,0,0,22.577989,1,4180380.2061,851769.2043,4726102.2395,4180379.4768,851769.1837,4726095.6840,17.5216
145,0,11.383835,2.158506,2.491933,0,0,22.577989,1,4180380.5183,851769.5128,4726102.0973,4180378.7466,851769.0349,4726096.3521,7.4587
146,0,5.191296,0.564566,2.202425,0,0,22.577989,1,4180380.3208,851769.1038,4726102.6202,4180378.0165,851768.8862,4726097.0202,5.3871
147,0,13.900613,4.739397,2.338158,0,0,22.577989,1,4180377.7382,851768.6389,4726104.7196,4180377.2864,851768.7374,4726097.6884,16.7713
148,0,12.947360,3.621856,2.412649,0,0,22.577989,1,4180375.9120,851767.2264,4726104.5837,4180376.5562,851768.5886,4726098.3565,9.2029
149,0,16.186719,6.303843,2.982655,0,0,22.577989,1,4180376.6448,851768.6000,4726104.2223,4180375.8261,851768.4399,4726099.0247,11.6213
150,1,15.080881,2.278098,2.805014,0,0,22.577989,1,4180375.3044,851768.4109,4726103.1611,4180375.0960,851768.2911,4726099.6928,9.6284
151,1,18.387370,3.060606,3.071562,0,0,22.577989,1,4180374.4931,851768.0451,4726101.4899,4180374.3658,851768.1423,4726100.3609,14.8411
152,1,10.153134,1.165139,2.858744,0,0,22.577989,1,4180373.1398,851767.7325,4726100.7911,4180373.6357,851767.9936,4726101.0291,9.1714
153,1,20.559909,4.913104,3.268669,0,0,22.577989,1,4180371.3668,851768.4841,4726103.8296,4180372.9055,851767.8448,4726101.6972,20.2776
154,1,4.103748,0.360444,2.916556,0,0,22.577989,1,4180370.4636,851767.9376,4726104.8746,4180372.1754,851767.6960,4726102.3653,5.6391
155,1,12.171472,1.772034,2.877908,0,0,22.577989,1,4180369.6491,851767.0960,4726107.0663,4180371.4453,851767.5473,4726103.0335,14.5022
156,1,11.713165,1.724448,2.993897,0,0,22.577989,1,4180368.1258,851766.3639,4726106.4378,4180370.7151,851767.3985,4726103.7016,9.1981
157,1,3.377295,0.162077,2.536165,0,0,22.577989,1,4180366.8408,851766.1370,4726107.5280,4180369.9850,851767.2497,4726104.3698,7.3565
158,1,11.906603,4.595607,2.633540,0,0,22.577989,1,4180367.7414,851766.7393,4726107.8742,4180369.2549,851767.1010,4726105.0379,7.9394
159,1,13.125490,2.059838,2.209139,0,0,22.577989,1,4180366.0638,851766.6158,4726106.9516,4180368.5247,851766.9522,4726105.7060,11.3079
160,1,5.709457,1.084352,2.089765,0,0,22.577989,1,4180365.5348,851767.4306,4726107.6503,4180367.7946,851766.8034,4726106.3742,5.3240
161,1,4.917481,0.768247,1.860529,0,0,22.577989,1,4180364.8990,851766.5784,4726108.0534,4180367.0644,851766.6547,4726107.0423,3.9172
162,1,8.059402,1.305767,1.874592,0,0,22.577989,1,4180364.5576,851765.6282,4726107.8428,4180366.3343,851766.5059,4726107.7104,6.8857
163,1,10.634369,3.341189,1.717400,0,0,22.577989,1,4180364.8865,851764.0914,4726107.7820,4180365.6042,851766.3571,4726108.3786,10.3929
164,1,13.303019,4.823264,2.163682,0,0,22.577989,1,4180363.2595,851765.6038,4726109.1639,4180364.8740,851766.2083,4726109.0467,11.4212
165,1,5.738727,0.908723,2.077351,0,0,22.577989,1,4180363.2426,851765.9234,4726110.0869,4180364.1439,851766.0596,4726109.7148,4.3302
166,1,8.497023,2.312096,2.136116,0,0,22.577989,1,4180362.9576,851764.4004,4726110.9616,4180363.4138,851765.9108,4726110.3830,8.4623
167,1,10.095509,1.950309,2.314939,0,0,22.577989,1,4180362.9005,851763.1529,4726112.5753,4180362.6836,851765.7620,4726111.0511,11.3062
168,1,8.423535,1.429483,1.998327,0,0,22.577989,1,4180362.8375,851761.9373,4726112.4176,4180361.9535,851765.6133,4726111.7192,9.5545
169,1,4.383348,0.382634,1.830607,0,0,22.577989,1,4180361.8147,851761.7460,4726113.4556,4180361.2233,851765.4645,4726112.3874,4.9579
170,1,7.755810,2.000030,1.922174,0,0,22.577989,1,4180359.9276,851761.8568,4726114.2526,4180360.4932,851765.3157,4726113.0555,6.8610
171,1,6.765588,1.225564,1.967906,0,0,22.577989,1,4180359.9591,851762.2099,4726114.4261,4180359.7631,851765.1670,4726113.7236,4.3656
172,1,11.513751,2.600465,2.097376,0,0,22.577989,1,4180359.8835,851760.6822,4726116.1864,4180359.0329,851765.0182,4726114.3918,14.0736
173,1,6.820951,0.639566,1.827213,0,0,22.577989,1,4180358.8316,851759.9725,4726116.0757,4180358.3028,851764.8694,4726115.0599,7.7414
174,1,11.801612,4.262640,1.771151,0,0,22.577989,1,4180356.4176,851758.6207,4726116.1530,4180357.5726,851764.7207,4726115.7281,14.1160
175,1,13.964048,4.475476,2.127826,0,0,22.577989,1,4180355.1210,851759.9302,4726115.5361,4180356.8425,851764.5719,4726116.3962,10.3506
176,1,18.747404,3.639328,2.260549,0,0,22.577989,1,4180353.4188,851759.5926,4726118.4454,4180356.1124,851764.4231,4726117.0643,18.9513
177,1,11.861960,1.571485,2.222667,0,0,22.577989,1,4180353.0214,851759.6041,4726117.6382,4180355.3822,851764.2744,4726117.7325,10.3623
178,1,6.691144,1.018569,2.181576,0,0,22.577989,1,4180351.5896,851760.0210,4726118.8033,4180354.6521,851764.1256,4726118.4006,7.0085
179,1,13.629128,6.149906,2.758303,0,0,22.577989,1,4180352.2804,851761.5827,4726119.7340,4180353.9219,851763.9768,4726119.0687,8.5665
180,1,23.910028,5.214940,3.079794,0,0,22.577989,1,4180351.2066,851761.1626,4726117.2398,4180353.1918,851763.8280,4726119.7369,23.7609
181,1,5.636238,1.065409,3.063778,0,0,22.577989,1,4180349.8457,851761.9229,4726117.5745,4180352.4617,851763.6793,4726120.4050,6.4672
182,1,13.882691,2.887468,3.092479,0,0,22.577989,1,4180349.8107,851760.9854,4726119.5779,4180351.7315,851763.5305,4726121.0731,11.3718
183,1,7.146246,0.932755,3.121798,0,0,22.577989,1,4180349.6521,851761.3747,4726120.8476,4180351.0014,851763.3817,4726121.7413,4.2725
184,1,12.702539,3.869174,3.082451,0,0,22.577989,1,4180347.1462,851761.1633,4726120.3731,4180350.2712,851763.2330,4726122.4094,14.6021
185,1,12.726080,5.280793,3.162983,0,0,22.577989,1,4180348.4861,851761.2898,4726120.5011,4180349.5411,851763.0842,4726123.0775,10.4141
186,1,18.145028,3.922681,3.191318,0,0,22.577989,1,4180348.7644,851760.5929,4726123.2193,4180348.8110,851762.9354,4726123.7457,15.7575
187,1,9.541477,1.232784,3.157448,0,0,22.577989,1,4180347.5279,851760.8439,4726122.7210,4180348.0808,851762.7867,4726124.4138,9.8120
188,1,13.305127,4.094200,3.465011,0,0,22.577989,1,4180347.6987,851759.1377,4726124.4257,4180347.3507,851762.6379,4726125.0819,13.4887
189,1,12.374095,2.253844,3.075405,0,0,22.577989,1,4180346.2980,851759.5938,4726123.6352,4180346.6205,851762.4891,4726125.7501,12.2200
190,1,9.117760,1.153781,2.669289,0,0,22.577989,1,4180345.9006,851760.1218,4726125.2455,4180345.8904,851762.3404,4726126.4182,6.0823
191,1,12.435626,2.118643,2.774612,0,0,22.577989,1,4180345.5411,851760.9794,4726127.3292,4180345.1603,851762.1916,4726127.0863,10.5279
192,1,14.145491,2.502530,2.736119,0,0,22.577989,1,4180344.4984,851760.0994,4726126.3218,4180344.4301,851762.0428,4726127.7545,14.2049
193,1,12.459283,1.635062,2.806349,0,0,22.577989,1,4180344.4452,851760.0081,4726128.5022,4180343.7000,851761.8940,4726128.4226,11.2176
194,1,9.525740,1.074146,2.526846,0,0,22.577989,1,4180343.7417,851759.3302,4726130.3867,4180342.9698,851761.7453,4726129.0907,10.3745
195,1,14.021828,3.734935,2.372261,0,0,22.577989,1,4180344.7432,851759.4536,4726129.7509,4180342.2397,851761.5965,4726129.7589,13.5397
196,1,11.264209,3.436088,2.323601,0,0,22.577989,1,4180343.0339,851760.5206,4726129.6664,4180341.5095,851761.4477,4726130.4270,8.4801
197,1,5.688455,1.074955,2.307819,0,0,22.577989,1,4180341.7970,851761.2786,4726130.4205,4180340.7794,851761.2990,4726131.0951,3.9806
198,1,6.414933,0.584677,1.956866,0,0,22.577989,1,4180341.0689,851760.8205,4726130.3134,4180340.0493,851761.1502,4726131.7632,6.9650
199,1,7.513192,0.522762,1.783758,0,0,22.577989,1,4180340.3766,851761.0090,4726131.8853,4180339.3191,851761.0014,4726132.4314,6.0269
200,1,6.619981,0.777570,1.746137,0,0,22.577989,1,4180339.0719,851761.3227,4726133.2449,4180338.5890,851760.8527,4726133.0995,5.6433
201,1,10.159899,1.030058,1.637278,0,0,22.577989,1,4180338.3453,851761.7796,4726135.2622,4180337.8588,851760.7039,4726133.7676,10.5136
202,1,11.370860,1.170218,1.504047,0,0,22.577989,1,4180337.7211,851761.7125,4726134.5701,4180337.1287,851760.5551,4726134.4358,9.7527
203,1,3.892524,0.246532,1.365194,0,0,22.577989,1,4180337.2029,851761.4613,4726134.8351,4180336.3986,851760.4064,4726135.1039,3.5404
204,1,26.384328,6.835030,1.941283,0,0,22.577989,1,4180335.6159,851761.8059,4726138.9106,4180335.6684,851760.2576,4726135.7720,26.0777
205,1,2.811497,0.243182,1.592107,0,0,22.577989,1,4180335.2506,851761.6431,4726139.9470,4180334.9383,851760.1088,4726136.4402,4.8913
206,1,10.954382,1.367778,1.385276,0,0,22.577989,1,4180333.9236,851761.4712,4726139.4936,4180334.2081,851759.9600,4726137.1083,7.2721
207,1,2.919209,0.287091,1.306490,0,0,22.577989,1,4180332.6118,851761.4088,4726140.2801,4180333.4780,851759.8113,4726137.7764,4.1107
208,1,5.757485,1.122469,1.360269,0,0,22.577989,1,4180331.8429,851760.3924,4726141.0942,4180332.7478,851759.6625,4726138.4446,4.7992
209,1,8.251705,1.325920,1.440585,0,0,22.577989,1,4180330.2030,851760.8674,4726141.0852,4180332.0177,851759.5137,4726139.1127,7.5115
210,1,4.722960,0.447967,1.407625,0,0,22.577989,1,4180329.6485,851761.2878,4726142.3052,4180331.2876,851759.3650,4726139.7808,6.8145
211,1,5.836787,1.127235,1.417342,0,0,22.577989,1,4180327.9190,851760.7035,4726143.2310,4180330.5574,851759.2162,4726140.4489,7.5422
212,1,14.325600,6.619447,1.962265,0,0,22.577989,1,4180326.4883,851758.1947,4726143.5523,4180329.8273,851759.0674,4726141.1171,13.2149
213,1,4.930475,0.750089,2.012621,0,0,22.577989,1,4180326.0898,851758.4791,4726144.0932,4180329.0971,851758.9187,4726141.7852,2.3043
214,1,12.124272,1.750087,1.504126,0,0,22.577989,1,4180325.8426,851758.5610,4726146.3411,4180328.3670,851758.7699,4726142.4533,13.8140
215,1,9.940040,1.744121,1.654220,0,0,22.577989,1,4180325.8859,851758.9009,4726146.1422,4180327.6368,851758.6211,4726143.1215,5.3497
216,1,8.637737,2.075725,1.725015,0,0,22.577989,1,4180326.4431,851758.5360,4726147.4834,4180326.9067,851758.4723,4726143.7896,9.3183
