t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
95,0,10.438495,2.705505,2.632729,0,0,12.724796,1,4180416.0456,851776.8837,4726062.7864,4180415.2533,851776.4733,4726062.9451,8.8533,1.000000
96,0,11.545620,1.834488,2.387807,0,0,12.467185,1,4180415.2283,851776.3571,4726064.2875,4180414.5232,851776.3246,4726063.6132,11.1186,1.000000
97,0,13.992796,2.746518,2.336388,0,0,12.219811,1,4180414.2710,851776.5626,4726063.9075,4180413.7931,851776.1758,4726064.2814,13.2242,1.000000
98,0,11.306625,2.619955,2.526755,0,0,11.982101,1,4180414.1241,851776.2018,4726063.8353,4180413.0629,851776.0270,4726064.9495,11.8738,1.000000
99,0,11.507280,2.503866,2.664832,0,0,11.753523,1,4180413.5415,851775.5013,4726063.7098,4180412.3328,851775.8783,4726065.6176,12.5562,1.000000
100,0,6.668938,0.504603,2.617669,0,0,11.533583,1,4180412.8799,851775.1685,4726064.7817,4180411.6027,851775.7295,4726066.2858,5.1452,1.000000
101,0,3.922591,0.268760,2.256980,0,0,11.321822,1,4180412.1785,851775.1290,4726065.6247,4180410.8725,851775.5807,4726066.9539,2.4416,1.000000
102,0,13.160464,1.789085,1.929234,0,0,11.117811,1,4180411.6904,851774.9874,4726067.1786,4180410.1424,851775.4320,4726067.6221,12.1270,1.000000
103,0,19.431474,6.202483,2.376475,0,0,10.921153,1,4180411.2755,851774.1235,4726066.5826,4180409.4123,851775.2832,4726068.2902,20.4184,1.000000
104,0,7.364491,1.563684,2.273895,0,0,10.731476,1,4180411.0592,851773.8546,4726067.4588,4180408.6821,851775.1344,4726068.9584,8.5910,1.000000
105,0,24.521964,6.083440,2.611688,0,0,10.548433,1,4180410.2154,851773.8482,4726069.7498,4180407.9520,851774.9857,4726069.6265,22.6677,1.000000
106,0,5.966187,1.328028,2.561042,0,0,10.371699,1,4180409.1678,851773.7603,4726070.4176,4180407.2219,851774.8369,4726070.2946,3.4310,1.000000
107,0,8.243690,2.378238,2.524214,0,0,10.200971,1,4180408.0071,851773.3487,4726070.9016,4180406.4917,851774.6881,4726070.9628,7.1099,1.000000
108,0,19.639162,4.025741,2.664793,0,0,10.035965,1,4180407.2287,851773.3779,4726070.2657,4180405.7616,851774.5394,4726071.6309,19.4624,1.000000
109,0,13.365829,6.702658,3.084672,0,0,9.876413,1,4180405.9357,851773.8160,4726070.8826,4180405.0315,851774.3906,4726072.2991,11.5334,1.000000
110,0,6.426802,0.762050,3.110417,0,0,9.722067,1,4180405.4566,851773.5439,4726071.1597,4180404.3014,851774.2418,4726072.9672,8.2567,1.000000
111,0,12.962182,4.978327,3.581373,0,0,9.572690,1,4180405.3792,851773.0158,4726071.3347,4180403.5712,851774.0931,4726073.6354,15.1604,1.000000
112,0,13.921854,1.965012,3.598966,0,0,9.428063,1,4180404.8097,851772.9026,4726071.0780,4180402.8411,851773.9443,4726074.3035,16.5042,1.000000
113,0,12.702195,2.248878,3.203606,0,0,9.287977,1,4180404.0642,851773.0075,4726070.9400,4180402.1110,851773.7955,4726074.9716,15.4704,1.000000
114,0,24.692902,7.053246,3.752562,0,0,9.152236,1,4180403.1040,851773.1184,4726072.9404,4180401.3808,851773.6468,4726075.6398,20.2016,1.000000
115,0,13.959295,7.023414,3.846559,0,0,9.020658,1,4180401.6190,851772.7688,4726073.7349,4180400.6507,851773.4980,4726076.3079,11.9682,1.000000
116,0,6.792161,1.625018,3.876258,0,0,8.893067,1,4180400.5964,851772.3641,4726074.2114,4180399.9206,851773.3492,4726076.9761,7.7601,1.000000
117,0,12.786176,2.151285,3.853563,0,0,8.769300,1,4180400.0113,851771.9229,4726075.5002,4180399.1904,851773.2004,4726077.6442,10.8119,1.000000
118,0,19.228059,4.799063,3.930895,0,0,8.649202,1,4180399.5134,851772.0530,4726077.1446,4180398.4603,851773.0517,4726078.3123,16.9813,1.000000
119,0,12.176126,1.783056,3.438935,0,0,8.532625,1,4180398.6136,851771.9094,4726078.4360,4180397.7302,851772.9029,4726078.9805,10.6940,1.000000
